CS_number,name,country,latitude,longitude,collector,seq_by,Experiment,N_source,N_concentration,N_treatment,Leaf_Area,Total_roots,PR_length,Number_of_LR,Total_LR,LR_density,LR_length,LR_to_total_roots,LR_to_PR,X2MSO,X3OHP,X4OHB,X3MSO,OH_3_Butenyl,X4MSO,Allyl,X5MSO,Branches,X3_Butenyl,X6MSO,X3MT,X7MSO,X4_Pentenyl,X4MT,X8MSO,I3M,X4MOI3M,Aliphatic,Indolic,C3,C4,C3_ratio,Alk,GSOH,SC,LC,Total_GSL
CS76354,Mitterberg-1-181,ITA,46.366,11.2832,Joerg Wunder,MPI,C,NH4HCO3,0.1,NH4HCO3_0.1,3.570593978,32.645,29.58,1.5,3.065,0.048123195,2.043333333,0.082171582,0.098331729,0,0.704644191,0,0,0,0,0.147799032,0,0,0,0,5.07E-15,0,0,0,0.281748148,0.097170689,0.054034398,1.134191371,0.151205087,0.852443223,0,1,0.176591376,NA,0.852443223,0.281748148,1.285396459
CS76354,Mitterberg-1-181,ITA,46.366,11.2832,Joerg Wunder,MPI,C,KNO3,1,KNO3_1,7.589456122,65.245,45.78,4.5,19.465,0.090525046,4.325555556,0.219596119,0.391571112,0,0.055640923,0,0,0,0,0.121647159,0,0,0,0,4.22E-15,0,0,0,0.050572748,0.020007503,0.003779556,0.22786083,0.023787059,0.177288082,0,1,0.77874818,NA,0.177288082,0.050572748,0.251647889
CS76354,Mitterberg-1-181,ITA,46.366,11.2832,Joerg Wunder,MPI,C,KNO3,0.1,KNO3_0.1,2.081068171,63.66,35.005,6,28.655,0.190839694,4.775833333,0.322873239,0.911418575,0,0.166904275,0,0,3.65E-16,0,0.477412114,0,0,0,6.48E-18,0.039051094,3.11E-15,0,0,0.146904646,0.074715506,0.133117973,0.830272129,0.207833479,0.683367483,1.70E-14,1,0.5567951,NA,0.683367483,0.146904646,1.038105608
CS76355,Castelfed-4-212,ITA,46.3378,11.2928,Joerg Wunder,MPI,C,KNO3,0.1,KNO3_0.1,6.35477336,54.59,11.75,12,42.84,1.021276596,3.57,0.784759113,3.645957447,0,1.89E-13,2.20E-13,0,0,0,1.603508277,0,0,0,1.42E-18,0,6.23E-15,0,0,0.220420333,0.094324016,0.046169124,1.82392861,0.14049314,1.603508277,1.73E-14,1,1,NA,1.603508277,0.220420333,1.96442175
CS76355,Castelfed-4-212,ITA,46.3378,11.2928,Joerg Wunder,MPI,C,NH4HCO3,1,NH4HCO3_1,2.63082788,26.56,26.56,1.19E-12,0,0,NA,0,0,1.55E-17,4.63E-14,0.170715582,6.90E-18,0,1.03E-16,0,1.45E-17,0,6.92E-14,0,0.236115816,0,1.75E-17,2.46E-14,0,0.027177354,0,0.406831398,0.027177354,0.236115816,0.170715582,0.57596232,1.17E-13,NA,0.406831398,0,0.434008752
CS76355,Castelfed-4-212,ITA,46.3378,11.2928,Joerg Wunder,MPI,C,KNO3,1,KNO3_1,4.073301298,27.21,27.21,0,0,0,NA,0,0,2.19E-17,4.27E-14,0.283401054,1.64E-16,0,2.08E-16,0.163948834,1.21E-17,0,0.261947329,3.80E-17,0.574747932,0,2.21E-17,2.45E-14,0.136668172,0.051382995,0,1.420713321,0.051382995,0.738696766,0.545348383,0.575288779,0.331683168,0,1.28404515,0.136668172,1.472096316
CS76356,Castelfed-4-213,ITA,46.3378,11.2928,Joerg Wunder,MPI,C,KNO3,1,KNO3_1,12.8212049,42.57,42.57,4,1.71E-11,0.093962885,0,0,0,1.84E-17,0,0,6.79E-16,0,9.21E-16,0.752265637,3.08E-17,1.83E-16,0,0,7.33E-15,0,5.41E-17,7.92E-16,0.067250735,0.033172196,0.007758306,0.819516372,0.040930501,0.752265637,0,1,1,NA,0.752265637,0.067250735,0.860446873
CS76356,Castelfed-4-213,ITA,46.3378,11.2928,Joerg Wunder,MPI,C,NH4HCO3,1,NH4HCO3_1,2.928828802,23.805,23.805,0,0,0,NA,0,1.39E-14,1.40E-17,0.14535701,0,6.72E-16,0,9.70E-16,0.109477748,2.41E-17,1.05E-16,0,5.57E-19,0.061902839,0,4.03E-17,7.31E-16,0,0.034319653,2.82E-15,0.316737597,0.034319653,0.316737597,0,1,0.214801444,NA,0.316737597,0,0.35105725
CS76358,Bozen-1.2,ITA,46.513,11.331,Joerg Wunder,MPI,C,NH4HCO3,0.1,NH4HCO3_0.1,6.763152748,51.06,46.14,3,4.92,0.065019506,1.64,0.096357227,0.10663199,1.98E-17,6.08E-15,2.86E-14,0,5.01E-15,0,0.934721636,1.36E-18,5.54E-16,0,2.08E-17,1.14E-14,0,1.16E-16,0,0.107319892,0.129822449,0.056689136,1.042041527,0.186511586,0.934721636,0,1,1,NA,0.934721636,0.107319892,1.228553113
CS76358,Bozen-1.2,ITA,46.513,11.331,Joerg Wunder,MPI,C,NH4HCO3,1,NH4HCO3_1,6.149592549,21.03,21.03,0,6.47E-11,0,NA,0,0,1.47E-17,1.05E-14,0.226743908,0,6.28E-15,0,1.803953919,7.44E-19,6.25E-16,0,1.97E-17,2.00E-14,0,1.09E-16,0,0.108562235,0.188953257,0.059090837,2.139260061,0.248044093,1.803953919,0.226743908,0.888341877,0.888341877,NA,2.030697827,0.108562235,2.387304154
CS76359,Ciste-1,ITA,41.62,12.87,0,MPI,C,KNO3,1,KNO3_1,7.577043338,50.96,41.255,3.5,9.705,0.073313783,2.772857143,0.144527178,0.203288647,3.23E-17,0,0,1.22E-15,0.057029562,1.32E-15,0,1.51E-17,1.03E-15,0.082760579,0,3.80E-14,0.013241693,6.84E-17,0.037768919,0.079912589,0.058234416,0.034146983,0.270713342,0.092381399,0,0.17755906,3.39E-14,0.787288136,0.407965554,0.17755906,0.093154282,0.363094741
CS76359,Ciste-1,ITA,41.62,12.87,0,MPI,C,NH4HCO3,0.1,NH4HCO3_0.1,4.817625294,53.96,38.185,6,15.775,0.143609382,2.629166667,0.215123415,0.377573002,3.08E-17,0,0,1.36E-15,7.40E-18,1.13E-15,0,1.48E-17,8.98E-16,0.471055728,1.35E-17,3.84E-14,0,4.64E-17,0.234664347,0.217772724,0.277359562,0.095292039,0.923492798,0.372651601,0,0.705720075,3.42E-14,0.382041272,0,0.705720075,0.217772724,1.2961444
CS76359,Ciste-1,ITA,41.62,12.87,0,MPI,C,NH4HCO3,1,NH4HCO3_1,5.434371362,38.56,36.72,1,1.84,0.027233115,1.84,0.047717842,0.050108932,2.21E-17,0,0,9.43E-16,5.44E-16,1.33E-15,0,1.58E-17,9.11E-16,0.214344401,1.84E-17,4.40E-14,0,6.10E-17,0.119112982,0,0.088450234,0.013385469,0.333457384,0.101835703,0,0.333457384,3.41E-14,0.642793988,2.33E-15,0.333457384,0,0.435293087
CS76360,Ciste-2,ITA,41.62,12.87,0,MPI,C,NH4HCO3,0.1,NH4HCO3_0.1,5.26643933,39.015,39.015,5.01E-12,0,2.02E-13,NA,0,0,0,4.35E-14,0,1.07E-15,1.96E-14,0,0,3.39E-17,0,0.292633302,8.01E-17,1.70E-15,0,1.20E-16,0,0.281522471,0.202986758,0.091192229,0.574155773,0.294178987,9.19E-15,0.292633302,0,1,0,0.292633302,0.281522471,0.86833476
CS76360,Ciste-2,ITA,41.62,12.87,0,MPI,C,KNO3,0.1,KNO3_0.1,5.93841247,37.82,37.82,2.14E-11,0,0,NA,4.37E-13,2.69E-13,0,1.35E-13,0,5.26E-15,5.79E-14,0,0,1.03E-16,0,0,1.95E-16,4.61E-15,0,3.80E-16,0,0.243803969,0.042712943,0.097332592,0.243803969,0.140045535,0,5.11E-15,NA,NA,NA,0,0.243803969,0.383849504
CS76360,Ciste-2,ITA,41.62,12.87,0,MPI,C,KNO3,1,KNO3_1,4.616430846,28.84,28.84,0,1.11E-10,0,NA,4.30E-13,1.27E-12,0,4.04E-14,0,1.44E-15,2.15E-14,0,0,3.15E-17,0,0,4.93E-17,1.49E-15,0,1.35E-16,0.057802106,0.162537545,0.032112281,0,0.220339651,0.032112281,0,0.057802106,0,4.54E-15,NA,0.057802106,0.162537545,0.252451932
CS76361,Monte-1,ITA,40.28,15.65,0,MPI,C,NH4HCO3,1,NH4HCO3_1,5.234129767,29.05,29.05,0,0,0,NA,2.52E-13,2.67E-13,0,0,2.99E-15,3.69E-17,4.92E-14,8.10E-16,4.90E-14,3.70E-18,0,5.76E-14,3.70E-17,0,1.34E-15,0,0,0.038475995,0.020250524,2.00E-14,0.038475995,0.020250524,0,0,NA,NA,NA,3.59E-14,0.038475995,0.058726519
CS76361,Monte-1,ITA,40.28,15.65,0,MPI,C,KNO3,1,KNO3_1,15.09779739,83.53,45.04,8.666666667,38.49,0.174343263,2.898333333,0.246531819,0.767405754,0,0,3.19E-15,5.41E-16,0.165566197,6.74E-16,5.39E-14,4.67E-18,0,0.200222666,7.03E-18,0,0.021481422,0,0,0.088830204,0.026309521,0.01134239,0.476100489,0.037651911,0,0.365788862,0,1,0.453207879,0.365788862,0.110311626,0.5137524
CS76361,Monte-1,ITA,40.28,15.65,0,MPI,C,KNO3,0.1,KNO3_0.1,8.862840026,57.59,40.74,4,16.85,0.076598111,2.765909091,0.167812671,0.309846707,0,0,0,1.42E-15,0.194593443,3.00E-15,0,2.15E-17,4.25E-17,0.356490819,8.77E-18,0,0.022265576,0,1.92E-14,0.151743702,0.038986533,0.096031866,0.725093539,0.135018398,0,0.551084262,0,1,0.376746697,0.551084262,0.174009277,0.860111938
CS76361,Monte-1,ITA,40.28,15.65,0,MPI,C,NH4HCO3,0.1,NH4HCO3_0.1,6.032638598,65.31666667,45.35333333,6,19.96333333,0.112023898,3.327222222,0.175965917,0.372728404,0,0,3.14E-15,4.73E-16,0.155579815,7.09E-16,5.94E-14,4.14E-18,0,0.313843884,1.03E-17,0,0.0193743,0,0,0.150555304,0.081676188,0.035192378,0.639353303,0.116868566,0,0.469423699,0,1,0.606079404,0.469423699,0.169929604,0.756221869
CS76362,Angel-1,ITA,38.62,16.17,0,MPI,C,NH4HCO3,0.1,NH4HCO3_0.1,3.179777464,32.76333333,31.24333333,2.333333333,1.52,0.046222927,0.651428571,0.027616279,0.030110935,1.16E-17,1.13E-14,0,0,0.142348468,1.12E-15,0,0,9.70E-16,1.225400863,0,0,0.028353174,1.08E-16,9.55E-15,0.253655171,0.156534023,0.023109779,1.649757675,0.179643802,0,1.367749331,1.47E-14,1,0.104074968,1.367749331,0.282008345,1.829401477
